slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,slope_9,slope_10,slope_11,slope_12,slope_13,slope_14,slope_15,slope_16,slope_17,slope_18,slope_19,slope_20,slope_21,slope_22,slope_23,slope_24,slope_25,slope_26,slope_27,slope_28,slope_29,state
-2.1749608978905,-2.26308227196124,-2.42235873184647,-2.50450328675564,-2.61272365136502,-1.73969077783803,-1.90396456578123,-2.14805570234636,-2.10496557284887,-2.14251248419194,-2.36108621645749,-2.19716505723075,-2.36463963374053,-2.65361307442439,-3.11998400075101,-2.67906984051614,-2.57425782975354,-3.1165064660028,-4.08135856065858,-4.1288515519543,-4.28201105929751,-3.66122046959376,-2.60387771366843,-3.20534583363662,-3.72343424879524,-4.45800228817692,-4.02632964176927,-3.61416059951265,-2.78491310069747,1
-2.02458523111389,-2.0875092833605,-2.22884121225236,-2.2582826821523,-2.29983466206193,-1.74553120014204,-1.74627631022833,-2.02399162229334,-1.98828943771227,-2.04669068499934,-2.11710385558808,-2.13481895893312,-2.50309167214498,-2.58639085692153,-3.01336077376067,-2.18445744490652,-2.44313375970734,-2.86576686481204,-3.8861501736632,-3.86068413254487,-4.14564616250692,-3.345097039419,-2.61176786999678,-2.83806442410582,-3.43159745892892,-3.67320038186969,-3.26073200934588,-3.37162306043859,-2.76279555329938,0
-2.10566480915245,-2.19768338575684,-2.3855913228534,-2.35556364365755,-2.46738777388903,-1.80643957985027,-1.8543890157766,-2.09161122238008,-2.04128164210894,-2.06291419760869,-1.93858658036047,-2.05798587158549,-2.58951790162982,-2.44818435395317,-2.85255033427913,-2.35962956177404,-2.38647725100182,-2.8419515060402,-3.95209313097112,-4.00908419161222,-3.68564815630923,-3.55825838526843,-2.54969749742585,-2.20958550480956,-3.26970439889772,-3.45947054759487,-3.66918166104124,-3.17966232532781,-2.79446006338032,0
-2.08896907560263,-2.24849613762086,-2.43278447206028,-2.46082066013699,-2.61087870456395,-1.80938299645534,-2.04650292660466,-2.11932223570889,-1.99940195272117,-2.01739125789799,-1.96093311889528,-2.19308199058461,-2.70120965485206,-2.67788552297296,-2.71386823823463,-2.64700407310111,-2.982104156702,-3.19202237574986,-4.00350588339596,-4.09974790702778,-3.95251926049044,-3.33747523033343,-2.62089738702527,-2.91770167196836,-3.92682241964073,-3.90795313776894,-3.73783913340769,-3.2534295714746,-2.84055186253156,1
-2.07298167746255,-2.10681498743456,-2.27657003773259,-2.35133301127392,-2.45262051998704,-1.83444731642089,-2.0128403307912,-2.17523490239303,-2.131361424701,-2.19480067122662,-1.90526555364472,-2.21807895689256,-2.69668453859329,-2.71311559382623,-2.90556020383878,-2.64230119407071,-3.12846627620961,-3.29862236094119,-3.92259628581346,-4.04215946851236,-4.11537619950116,-3.25736379022765,-2.67730670633091,-3.0706743248738,-3.88241551970794,-4.26813491103819,-3.72702114344721,-3.46461737155425,-2.77622355008033,1
-2.05431690045172,-2.10835101306702,-2.29583470159545,-2.38996921974912,-2.45720163789349,-1.64804543659957,-1.72474907184625,-2.04014286563918,-2.06937669095061,-2.04415224439319,-2.06315174914219,-2.12943446146948,-2.69468254419479,-2.47180488288881,-2.79507535422333,-2.33537982448218,-2.6569698592731,-2.99556039675556,-4.18568930880482,-4.11212254964583,-3.4759907071907,-3.38856216935219,-2.60229393628117,-2.41799844500841,-3.78488734066719,-3.57581115079255,-3.89398671947773,-3.27612307174252,-2.87894861435228,1
-2.12351343687655,-2.02308232648384,-2.20798297504704,-2.29593745307596,-2.35195129626827,-1.77306150296907,-2.00308686744015,-2.14347802909613,-2.10563313232398,-2.20163810381519,-2.01647304770677,-2.15987778816301,-2.76249335955656,-2.45983773473394,-2.78068034282535,-2.43242251437777,-2.87114508562863,-3.09436384619042,-4.23613707811774,-4.1030565725392,-3.03415839787808,-3.5017088995511,-2.70056888747535,-2.4157638107094,-3.85389689355351,-3.59683299087073,-3.58994101611781,-3.15618525925499,-2.69680846278387,1
-2.10963581299654,-2.0872982859492,-2.25740481337018,-2.29411925912592,-2.37843570976629,-1.72122396391851,-1.89730507822077,-2.10910169013654,-2.04483243210711,-2.13656904567957,-1.81458296925524,-2.08743083568036,-2.66597803105613,-2.53243294579033,-2.76957765184785,-2.53631395321783,-3.12491628922505,-3.22361766470449,-4.12979161591491,-4.19232366456046,-3.56580377297594,-2.71128165799327,-2.25876298859582,-2.38217334276941,-3.38293211028944,-3.51441941096879,-3.6220197694245,-3.11106254019145,-2.89214166210284,1
-2.15489074965431,-2.12924300262781,-2.30245445143842,-2.3057573683484,-2.4194614111116,-1.80841972792871,-1.88482642194154,-2.02400043990498,-1.933842111904,-2.06587997757758,-1.9324946448816,-1.98466575650297,-2.64440329941332,-2.51193264327159,-2.67026873631028,-2.33293528196431,-2.3359708640702,-2.92326495806154,-4.03838454139977,-4.04184529482959,-3.25005873847279,-3.38047486040737,-2.42550158324895,-2.73976745495096,-3.33101579210288,-3.44652308152295,-4.18233599568661,-3.23825679321295,-2.82039065107146,0
-2.12605717626317,-2.15782916877421,-2.29902057224711,-2.35678063087816,-2.47627705205909,-1.79321916715231,-1.99750164101469,-2.14565992673955,-2.12227175277292,-2.17775192083186,-1.97697159637787,-2.65854507044375,-2.75775983005451,-2.38458250657925,-2.6017451817881,-3.14586597080717,-3.24594401399042,-3.39411749948239,-3.83131542018883,-4.0687693794355,-3.61895887827912,-3.10456641714602,-2.6766976287806,-2.60191974225037,-3.61093940200355,-3.58073103923889,-3.6282995285196,-3.25377624934943,-2.79777276755095,1
-2.07849052590962,-2.09763801483055,-2.29351367870724,-2.3379128789003,-2.3313622149594,-1.66998411490952,-1.8185750725665,-2.15159381363355,-2.28328077872055,-2.18277218432461,-2.16407395476659,-2.22960908796631,-2.46554637701427,-2.75304147416499,-2.78870334186261,-2.17291654999169,-2.42367439408351,-2.90337201839136,-4.12189430436815,-4.12760999430928,-3.91629129768425,-3.50264431031469,-2.64272080352657,-3.12625829205281,-3.71839837732449,-3.70511725335311,-3.7319593826973,-3.26841171166744,-2.79702699969684,0
-2.11141814099381,-2.01495072656941,-2.24093133784499,-2.31594592438317,-2.31846840353713,-1.78610755467309,-1.77978521169917,-2.15057634053735,-2.15095326477667,-2.16374034537728,-1.97423760785552,-2.17674076262414,-2.53227912402213,-2.49142923085093,-2.61339723234219,-2.54853033407768,-2.92305097125013,-3.04321344671714,-3.96589997430094,-4.01686447676683,-3.34276046020546,-2.94195059098779,-2.56182755425039,-2.76597182049303,-3.07428458876788,-3.37502762400474,-3.49506209070182,-3.26791468677081,-2.70348203138166,0
-2.02601934326459,-2.26753043200737,-2.34019353570648,-2.42589718238052,-2.68869291613781,-1.76229491331317,-1.95200648764496,-2.06559279669097,-1.90547495091963,-2.18597018264188,-1.89772078189708,-2.03838571208022,-2.33849942211958,-2.45143114250543,-2.69123975853204,-2.79104218139264,-2.90909899729676,-3.07618249277395,-4.08316634569512,-4.08770403774184,-3.930256329026,-3.04164713120504,-2.66719320924836,-2.99176921314713,-3.52553917761145,-3.83800757391137,-3.98030812466001,-3.23510285096018,-2.88720432435106,1
-2.00343454549488,-2.04621871385796,-2.26975538260455,-2.37065138558464,-2.42562330753151,-1.74875907524926,-1.69899519396567,-2.06998934454352,-2.13448326461659,-2.12196370838648,-1.91154652908967,-2.19087772852253,-2.74618321898938,-2.53857636349223,-2.72256589336684,-2.31792471815402,-2.92211859470052,-3.03735314493963,-4.04390094287421,-4.03805547595444,-3.4985539294288,-2.77083288462303,-2.4450969820603,-2.57259225954628,-3.61420150986467,-3.5520002034534,-3.50542539414124,-3.24539044710705,-2.73561008004518,1
-2.06589809395897,-2.23195175699817,-2.32254439439937,-2.37415835162012,-2.51732083121509,-1.73618726659675,-1.94535180197511,-2.02495156674329,-1.88205158590927,-1.72560321576046,-2.12814293136487,-2.16531057847265,-2.30862394605002,-2.68950838843192,-3.00051955533109,-2.58988042767533,-2.38427912365718,-2.8873028510074,-4.13466952134082,-4.196356602618,-4.40101281898102,-3.96108693608956,-2.60001054395826,-2.62641790187157,-3.31424430534795,-3.64630921814227,-3.59610858591326,-3.8691281512013,-2.97539382046556,0
